,program,cs,var,;,:,id',id'id,Integer,Boolean,begin,end,scst,read,write,CS,if,then,else,while,do,+,',*,it,lt,dg,TRUE,FALSE,>,>=,=,<=,<,$,pr,bl,vs,vd',vd,id,type,cd,st',st,ss,as,rs,ws,ifs,e,ae,t,ft,l,il,be
0,s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,s3,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
2,,s6,s10,,,,,,,,,,,,,,,,,,,,,,,,s8,s9,,,,,,,,5,7,,,,,,,,,,,,,,,,,,,
3,,r7,r7,,r7,,,,,,r7,,,,,,r7,r7,,r7,r7,r7,r7,,,,r7,r7,r7,r7,r7,r7,r7,,,,,,,,,,,,,,,,,,,,,,,
4,,r8,r8,,r8,,,,,,r8,,,,,,r8,r8,,r8,r8,r8,r8,,,,r8,r8,r8,r8,r8,r8,r8,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,r1,,,,,,r1,r1,,r1,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,
7,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,r40,,,,,,r40,r40,,r40,,,,,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,r41,,,,,,r41,r41,,r41,,,,,,,,,,,,,,r41,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,s3,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,13,14,,,,,,,,,,,,,,,,
11,,,,,,,,,,,r2,,,,,,r2,r2,,r2,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,
12,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,r4,,s15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,s3,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,13,14,,,,,,,,,,,,,,,,
16,,,,,,,,s19,s20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,
17,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,r6,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,r9,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,r10,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
